ITPRIPL2	NM_001034841,NR_028028
JARID2	NM_001267040,NM_004973
JARID2-AS1	NR_120502
KIN	NM_012311,NR_045609
KLF6	NM_001160124,NM_001160125,NM_001300,NR_027653
KLF7	NM_001270942,NM_001270943,NM_001270944,NM_003709,NR_073108
KLRB1	NM_002258
KLRC1	NM_001304448,NM_002259,NM_007328,NM_213657,NM_213658
KLRC3	NM_002261,NM_007333
KLRD1	NM_001114396,NM_001351060,NM_001351062,NM_001351063,NM_002262,NM_007334,NR_147038,NR_147039,NR_147040
KLRF1	NM_001291822,NM_001291823,NM_016523,NR_120305
KLRG1	NM_001329099,NM_001329101,NM_001329102,NM_001329103,NM_005810,NR_137426,NR_137427,NR_137428
KMT2A	NM_001197104,NM_005933
LCP1	NM_002298
LDHB	NM_001174097,NM_001315537,NM_002300
LDLRAP1	NM_015627
LEF1	NM_001130713,NM_001130714,NM_001166119,NM_016269
LEF1-AS1	NR_029373,NR_029374
LEPROTL1	NM_001128208,NM_015344
LGALS1	NM_002305
LINC00861	NR_038446,NR_038447
LINC01089	NR_002809,NR_152735,NR_152736,NR_152737,NR_152738,NR_152739,NR_152740
LINC01502	NR_034016,NR_034017,NR_109814
LITAF	NM_001136472,NM_001136473,NM_004862,NR_024320
LOC100270804	NR_026885
LOC440300	NR_033738
LOC644215	NR_157582
LOH12CR2	NR_024061
LPAR6	NM_001162497,NM_001162498,NM_005767
LRRC27	NM_001143757,NM_001143758,NM_001143759,NM_001309474,NM_030626
LRRC75A-AS1	NR_027158,NR_027159,NR_027160,NR_027161,NR_027162,NR_027163,NR_027164,NR_027165,NR_027166,NR_027167,NR_027168,NR_027169,NR_027170,NR_027171,NR_027172,NR_027173,NR_027174,NR_027175,NR_027176,NR_027177,NR_027178,NR_027179,NR_027667,NR_045021,NR_045022,NR_045023,NR_045024,NR_045025,NR_045026,NR_045027,NR_045028,NR_045029
LRRN3	NM_001099658,NM_001099660,NM_018334
LTB	NM_002341,NM_009588
LTB4R	NM_001143919,NM_181657
LTBP2	NM_000428
LTBP3	NM_001130144,NM_001164266,NM_021070
LTBP4	NM_001042544,NM_001042545,NM_003573
LYAR	NM_001145725,NM_017816
LYRM4	NM_001164840,NM_001164841,NM_001318782,NM_001318783,NM_020408,NR_104417,NR_104418,NR_134856
LYRM4-AS1	NR_126015,NR_126016,NR_126017,NR_126018,NR_126019
LYST	NM_000081,NM_001301365,NR_102436
MAF	NM_001031804,NM_005360
MAF1	NM_032272
MAFF	NM_001161572,NM_001161573,NM_001161574,NM_012323
MAFG	NM_002359,NM_032711
MAFG-DT	NR_015454
MAFIP	NR_046439,NR_046440,NR_046441,NR_046442
MAL	NM_002371,NM_022438,NM_022439,NM_022440
MALAT1	NR_002819,NR_144567,NR_144568
MALSU1	NM_138446
MALT1	NM_006785,NM_173844
MAML2	NM_032427
MAN2A2	NM_001320977,NM_006122,NR_135502,NR_135503,NR_135504
MCRIP1	NM_001093767,NM_001288798,NM_001288799,NM_207368
MDS2	NM_001348075
MEST	NM_001253900,NM_001253901,NM_001253902,NM_002402,NM_177524,NM_177525
MESTIT1	NR_004382
MID2	NM_012216,NM_052817
MRPL11	NM_016050,NM_170738,NM_170739,NR_120588,NR_120589
MRPS5	NM_001321995,NM_001321996,NM_001321997,NM_031902,NR_136152,NR_136153
MSC	NM_005098
MSC-AS1	NR_033651,NR_033652
MSN	NM_002444
MT2A	NM_005953
MYO1F	NM_001348355,NM_012335
NAA16	NM_001110798,NM_018527,NM_024561
NAIF1	NM_197956
NANOG	NM_001297698,NM_024865
NAP1L1	NM_001307924,NM_001330231,NM_001330232,NM_004537,NM_139207
NCAM2	NM_001352591,NM_001352592,NM_001352593,NM_001352594,NM_001352595,NM_001352596,NM_001352597,NM_004540
NCR3	NM_001145466,NM_001145467,NM_147130
NCR3LG1	NM_001202439
NDFIP1	NM_030571
NELL2	NM_001145107,NM_001145108,NM_001145109,NM_001145110,NM_006159
NFYB	NM_006166
NID2	NM_007361
NKG7	NM_001363693,NM_005601
NOG	NM_005450
NOSIP	NM_001270960,NM_001363649,NM_015953
NR6A1	NM_001278546,NM_001489,NM_033334
NSG1	NM_001040101,NM_001287763,NM_001287764,NM_014392
NSMAF	NM_001144772,NM_003580
NSMCE1	NM_145080
NUCB2	NM_001330227,NM_001352661,NM_001352662,NM_001352663,NM_001352664,NM_001352665,NM_001352666,NM_001352667,NM_001352668,NM_001352669,NM_001352670,NM_001352671,NM_001352672,NM_005013
NUDCD2	NM_001329991,NM_145266,NR_138426,NR_138427
OASL	NM_001261825,NM_003733,NM_198213
OCIAD2	NM_001014446,NM_001286773,NM_001286774,NM_152398,NR_104589
OLMALINC	NR_026762
ORMDL3	NM_001320801,NM_001320802,NM_001320803,NM_139280
OSTF1	NM_012383
OXNAD1	NM_001330670,NM_001330671,NM_001352977,NM_001352978,NM_001352980,NM_001352981,NM_001352982,NM_001352983,NM_138381,NR_148217,NR_148218,NR_148219,NR_148220
P2RY8	NM_178129
PABPC1	NM_002568
PABPC1L	NM_001124756,NR_134983,NR_134984,NR_134985,NR_134986,NR_134987
PABPC1P2	NR_026904
PADI4	NM_012387
PARP8	NM_001178055,NM_001178056,NM_001331028,NM_024615
PASK	NM_001252119,NM_001252120,NM_001252122,NM_001252124,NM_015148
PCID2	NM_001127202,NM_001127203,NM_001258213,NM_001320655,NM_001320656,NM_001320657,NM_001320659,NM_001320660,NM_001353091,NM_001353092,NM_001353093,NM_001353094,NM_001353095,NM_018386
PDCD2	NM_001199461,NM_001199462,NM_001199463,NM_001199464,NM_001363655,NM_002598,NM_144781
PDCD2L	NM_001353433,NM_032346
